,CR
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,-0.0304913259177379
08/2019,-0.017639895218407
10/2019,0.0616356213002037
11/2019,0.0479484487376519
12/2019,0.0073669172371441
01/2020,0.0639335556727798
02/2020,0.03098254564535
03/2020,-0.0124797294323016
04/2020,-0.0144962662934757
05/2020,0.0623789850594857
06/2020,0.0015194973725608
07/2020,0.0460948162338559
09/2020,0.043919791551456
10/2020,-0.0173137321285995
11/2020,0.0241537654677662
01/2021,-0.0329702345972338
02/2021,-0.0263055865786812
03/2021,-0.0131583364766739
04/2021,0.0167766868121338
05/2021,-0.0555586529866318
07/2021,-0.0001055373494137
08/2021,-0.0389203746961697
09/2021,-0.1300180870901554
10/2021,-0.096741760974614
11/2021,-0.1480166164323947
01/2022,-0.0949350689934345
02/2022,-0.1579583527440493
05/2022,-0.0799976138059595
06/2022,0.025422348297155
07/2022,0.0011683404910496
08/2022,-0.0525975838225197
09/2022,-0.0058465839392739
10/2022,0.0174067191585491
11/2022,0.0252983717115647
12/2022,0.1509671168458893
01/2023,0.0977845620392879
02/2023,0.0595733930610401
03/2023,0.1146282211320217
04/2023,0.1144202184284481
05/2023,0.0562632394157808
06/2023,-0.0356294708984897
07/2023,0.0629764135675554
08/2023,0.0303466804310791
10/2023,
01/2024,
02/2024,
