,SCTA
01/2019,-0.0088738455382065
02/2019,-0.0366088788597654
03/2019,-0.0246604827241597
04/2019,0.2522391655431826
05/2019,-0.148444764910306
06/2019,0.0177597232924862
07/2019,0.0099471803760198
08/2019,0.00465721790734
09/2019,-0.0573938200909561
10/2019,0.0869181053562884
11/2019,-0.1043484969324043
12/2019,0.1725033593998077
01/2020,-0.1153480751710196
02/2020,-0.0218361990090978
03/2020,0.3318093462003872
04/2020,-0.0110857153007031
05/2020,-0.0158356819118615
06/2020,-0.0116079882743159
07/2020,-0.0584228809379667
08/2020,0.0030049558360816
09/2020,-0.0122410249387104
10/2020,-0.027440138360307
11/2020,0.0976194200151148
01/2021,-0.0582767000196177
02/2021,0.0359581078564921
03/2021,0.0246501757464823
04/2021,0.0343869098025355
05/2021,-0.04719513878835
06/2021,-0.0138419917893334
07/2021,-0.0142600427820974
08/2021,0.0640339566187799
09/2021,-0.0727529457311267
10/2021,-0.0791348042253879
11/2021,0.0681376712949084
12/2021,-0.0298693297055951
01/2022,-0.0131403345765475
02/2022,-0.1139862718095925
05/2022,-0.0560424025900166
06/2022,-0.0529948265871994
07/2022,0.0025497176174495
08/2022,-0.083861689901976
09/2022,0.3396402351394627
10/2022,-0.1337285372030798
11/2022,0.0114272882685906
12/2022,-0.100298103768484
01/2023,0.0994028228413197
02/2023,0.0155905331553691
03/2023,-0.1098437672530127
04/2023,-0.0209492807791865
05/2023,0.0191233494622178
06/2023,-0.0274068331980387
07/2023,-0.0111483485778448
08/2023,-0.0986197233216524
09/2023,0.0185835734229262
10/2023,0.0579698342102275
11/2023,0.0354813820163153
12/2023,-0.0163780861331968
01/2024,0.2501309630294279
02/2024,-0.1069922606772196
