,CR
01/2019,
02/2019,-0.0169141541463981
03/2019,-0.0018593066429836
04/2019,-0.0001487586138166
05/2019,-0.0218313728403687
06/2019,-0.004027951010122
07/2019,-0.0011539477839282
08/2019,-0.0192267832555113
09/2019,-0.0568901726154542
10/2019,0.0690352030722922
11/2019,-0.0242087902557082
12/2019,-0.0462807975913172
01/2020,0.0123900675046508
02/2020,-0.0075039480657429
03/2020,-0.0016016710918409
04/2020,0.0012935953218484
05/2020,0.019741585819522
06/2020,-0.0551506125864496
07/2020,0.0103076930112875
08/2020,-0.0095661637384653
09/2020,-0.0695660458380506
10/2020,-0.0434921344610335
11/2020,-0.025213251102189
01/2021,-0.0872442936356436
02/2021,-0.0311001571513284
03/2021,-0.0109151406612383
04/2021,0.012879834718624
05/2021,-0.0521723741337242
06/2021,-0.0176330203163508
07/2021,-0.0157420136743146
08/2021,-0.0254815527624316
09/2021,-0.0960228094776304
10/2021,-0.005911917396852
11/2021,-0.0118673442030591
12/2021,0.0014561962787147
01/2022,0.0116525971191221
02/2022,-0.0162834462061275
05/2022,0.1230069018051835
06/2022,0.152070101400354
07/2022,0.0530482914032592
08/2022,0.0231290475555667
09/2022,0.0522493628503959
10/2022,0.0689192838833618
11/2022,0.0242920310693508
12/2022,0.0690911038971762
01/2023,0.0114767052194142
02/2023,-0.0046049456174581
03/2023,0.0192111384567239
04/2023,0.0119793645299326
05/2023,8.433068295099488e-05
06/2023,-0.0071792153877764
07/2023,0.0576477812095932
08/2023,-0.0040919690085309
09/2023,-0.0218914998221557
10/2023,-0.0187047486693453
11/2023,-0.0074337498151372
12/2023,0.0062002218798042
01/2024,0.0126438875770169
02/2024,0.0010659345927706
