,CR
01/2019,
02/2019,
03/2019,
04/2019,
05/2019,
06/2019,
07/2019,0.03020115256128486
08/2019,0.004110825098906812
09/2019,-0.11836164179704856
10/2019,0.07036727734792869
11/2019,0.026054105098772595
12/2019,-0.07139004236697533
01/2020,-0.018866483639581322
02/2020,-0.016482330303565274
03/2020,-0.000237560041865148
04/2020,0.03447678349326777
05/2020,0.12398218909646541
06/2020,0.032748766971429255
07/2020,0.10678729471287873
08/2020,0.13820016569280913
09/2020,0.029613462398641488
10/2020,-0.008582076080874579
11/2020,0.0022594218288869428
01/2021,-0.11172719420135335
02/2021,-0.10910562589104233
03/2021,-0.06062321242558921
04/2021,0.029018856202570387
05/2021,-0.0065856031998883235
06/2021,0.01556495714743189
07/2021,0.03112373224945464
08/2021,0.021772103782853103
09/2021,-0.10826736677284154
10/2021,-0.11104809012742867
11/2021,-0.13928496038466975
12/2021,-0.1594801161268402
01/2022,-0.17369202859755406
02/2022,-0.24075839205641048
05/2022,-0.12746248975487484
06/2022,0.0376645176875916
07/2022,0.050141390277793185
08/2022,0.009005620214459942
09/2022,0.02538268565959445
10/2022,0.078099197637572
11/2022,0.047049092028878636
12/2022,0.13666078769307477
01/2023,0.10651621808701295
02/2023,0.037679049422160826
03/2023,0.03587126152790221
04/2023,0.031620179116087055
05/2023,0.008798363466865577
06/2023,-0.023387301508053238
07/2023,0.111949463354299
08/2023,0.09194988446805885
09/2023,
10/2023,
11/2023,
12/2023,
01/2024,
02/2024,
